"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.443476940E-1,4.252399877E-2,-1.649500057E-2,-1.553090066E-1,1.618680421E-1
7.541680410E-1,4.252399877E-2,-1.649500057E-2,-1.553090066E-1,1.618680421E-1
7.639861390E-1,4.038500041E-2,-1.570199989E-2,-1.553519964E-1,1.612815670E-1
7.738042560E-1,4.038500041E-2,-1.570199989E-2,-1.553519964E-1,1.612815670E-1
7.836211790E-1,4.148099944E-2,-1.425500028E-2,-1.578419954E-1,1.638229955E-1
7.934381420E-1,4.148099944E-2,-1.425500028E-2,-1.578419954E-1,1.638229955E-1
8.032542470E-1,4.218100011E-2,-1.397399977E-2,-1.595620066E-1,1.656337628E-1
8.130703620E-1,4.218100011E-2,-1.397399977E-2,-1.595620066E-1,1.656337628E-1
8.228888060E-1,4.516699910E-2,-1.676899940E-2,-1.578969955E-1,1.650839736E-1
8.327072670E-1,4.516699910E-2,-1.676899940E-2,-1.578969955E-1,1.650839736E-1
8.425255770E-1,4.377400130E-2,-1.659700088E-2,-1.595460027E-1,1.662725191E-1
8.523438860E-1,4.377400130E-2,-1.659700088E-2,-1.595460027E-1,1.662725191E-1
8.621616030E-1,4.365799949E-2,-1.193800010E-2,-1.563590020E-1,1.627779907E-1
8.719793320E-1,4.365799949E-2,-1.193800010E-2,-1.563590020E-1,1.627779907E-1
8.817973460E-1,4.415800050E-2,-9.537000209E-3,-1.562570035E-1,1.626564925E-1
8.916153470E-1,4.415800050E-2,-9.537000209E-3,-1.562570035E-1,1.626564925E-1
9.014340630E-1,4.544100165E-2,-7.763000205E-3,-1.532029957E-1,1.599884580E-1
9.112527940E-1,4.544100165E-2,-7.763000205E-3,-1.532029957E-1,1.599884580E-1
9.210722300E-1,4.609600082E-2,-7.302000187E-3,-1.531759948E-1,1.601282170E-1
9.308916550E-1,4.609600082E-2,-7.302000187E-3,-1.531759948E-1,1.601282170E-1
9.407121500E-1,4.641800001E-2,-3.501999890E-3,-1.491670012E-1,1.562616043E-1
9.505326110E-1,4.641800001E-2,-3.501999890E-3,-1.491670012E-1,1.562616043E-1
9.603497870E-1,4.655800015E-2,-3.036000067E-3,-1.441680044E-1,1.515297930E-1
9.701669820E-1,4.655800015E-2,-3.036000067E-3,-1.441680044E-1,1.515297930E-1
9.799836410E-1,4.609100148E-2,-8.237999864E-3,-1.411789954E-1,1.487405587E-1
9.898002940E-1,4.609100148E-2,-8.237999864E-3,-1.411789954E-1,1.487405587E-1
9.996190310E-1,4.231299832E-2,-1.927099936E-2,-1.361960024E-1,1.439135584E-1
1.009437760E0,4.231299832E-2,-1.927099936E-2,-1.361960024E-1,1.439135584E-1
1.019257769E0,3.886799887E-2,-2.172200009E-2,-1.337170005E-1,1.409354563E-1
1.029077808E0,3.886799887E-2,-2.172200009E-2,-1.337170005E-1,1.409354563E-1
1.038898125E0,3.757200018E-2,-2.238399908E-2,-1.329949945E-1,1.400013113E-1
1.048718434E0,3.757200018E-2,-2.238399908E-2,-1.329949945E-1,1.400013113E-1
1.058535850E0,3.983800113E-2,-2.015200071E-2,-1.371520013E-1,1.442353664E-1
1.068353237E0,3.983800113E-2,-2.015200071E-2,-1.371520013E-1,1.442353664E-1
1.078176317E0,5.037999898E-2,-2.947100066E-2,-1.382499933E-1,1.500658017E-1
1.087999352E0,5.037999898E-2,-2.947100066E-2,-1.382499933E-1,1.500658017E-1
1.097820792E0,6.255800277E-2,-3.106399998E-2,-1.388200074E-1,1.554009983E-1
1.107642217E0,6.255800277E-2,-3.106399998E-2,-1.388200074E-1,1.554009983E-1
1.117462342E0,7.105199993E-2,-3.227600083E-2,-1.396259964E-1,1.599548242E-1
1.127282457E0,7.105199993E-2,-3.227600083E-2,-1.396259964E-1,1.599548242E-1
1.137102356E0,7.519499958E-2,-3.178599849E-2,-1.420509964E-1,1.638387111E-1
1.146922241E0,7.519499958E-2,-3.178599849E-2,-1.420509964E-1,1.638387111E-1
1.156742025E0,7.862000167E-2,-3.293700144E-2,-1.422969997E-1,1.658746118E-1
1.166561834E0,7.862000167E-2,-3.293700144E-2,-1.422969997E-1,1.658746118E-1
1.176382205E0,7.664000243E-2,-3.037899919E-2,-1.419620067E-1,1.641638965E-1
1.186202550E0,7.664000243E-2,-3.037899919E-2,-1.419620067E-1,1.641638965E-1
1.196023127E0,7.691200078E-2,-2.694699913E-2,-1.408459991E-1,1.627242824E-1
1.205843704E0,7.691200078E-2,-2.694699913E-2,-1.408459991E-1,1.627242824E-1
1.215663683E0,7.326500118E-2,-2.305700071E-2,-1.443489939E-1,1.635115217E-1
1.225483684E0,7.326500118E-2,-2.305700071E-2,-1.443489939E-1,1.635115217E-1
1.235304330E0,7.311300188E-2,-2.342800051E-2,-1.446679980E-1,1.637779347E-1
1.245124983E0,7.311300188E-2,-2.342800051E-2,-1.446679980E-1,1.637779347E-1
1.254944058E0,6.917300075E-2,-2.141300030E-2,-1.464039981E-1,1.633326400E-1
1.264763137E0,6.917300075E-2,-2.141300030E-2,-1.464039981E-1,1.633326400E-1
1.274583844E0,6.782600284E-2,-1.819700003E-2,-1.458529979E-1,1.618783323E-1
1.284404573E0,6.782600284E-2,-1.819700003E-2,-1.458529979E-1,1.618783323E-1
1.294220253E0,6.625500321E-2,-1.637100056E-2,-1.471610069E-1,1.622162047E-1
1.304035950E0,6.625500321E-2,-1.637100056E-2,-1.471610069E-1,1.622162047E-1
1.313855687E0,6.504999846E-2,-1.523900032E-2,-1.454010010E-1,1.600161883E-1
1.323675416E0,6.504999846E-2,-1.523900032E-2,-1.454010010E-1,1.600161883E-1
1.333494211E0,6.051300094E-2,-1.245700009E-2,-1.461129934E-1,1.586379745E-1
1.343312982E0,6.051300094E-2,-1.245700009E-2,-1.461129934E-1,1.586379745E-1
1.353131378E0,6.051300094E-2,-1.245700009E-2,-1.461129934E-1,1.586379745E-1
1.362949801E0,6.051300094E-2,-1.245700009E-2,-1.461129934E-1,1.586379745E-1
1.372768107E0,6.129499897E-2,-1.136200037E-2,-1.445609927E-1,1.574295162E-1
1.382586414E0,6.129499897E-2,-1.136200037E-2,-1.445609927E-1,1.574295162E-1
1.392404906E0,6.073699892E-2,-1.062100008E-2,-1.453790069E-1,1.579140409E-1
1.402223405E0,6.073699892E-2,-1.062100008E-2,-1.453790069E-1,1.579140409E-1
1.412043565E0,5.650100112E-2,-8.566999808E-3,-1.493790001E-1,1.599369947E-1
